Hero,Role,ReleaseDate
Ana,Support,2016-07-19
Ashe,Damage,2018-11-13
Baptiste,Support,2019-03-19
Bastion,Damage,2016-05-24
Brigitte,Support,2018-03-20
Cassidy,Damage,2016-05-24
D.Va,Tank,2016-05-24
Doomfist,Tank,2017-07-27
Echo,Damage,2020-04-14
Freja,Damage,2025-04-22
Genji,Damage,2016-05-24
Hanzo,Damage,2016-05-24
Hazard,Tank,2024-12-10
Illari,Support,2023-08-10
Junker Queen,Tank,2022-06-28
Junkrat,Damage,2016-05-24
Juno,Support,2024-08-20
Kiriko,Support,2022-10-04
Lifeweaver,Support,2023-04-11
Lúcio,Support,2016-05-24
Mauga,Tank,2023-12-05
Mei,Damage,2016-05-24
Mercy,Support,2016-05-24
Moira,Support,2017-11-16
Orisa,Tank,2017-03-21
Pharah,Damage,2016-05-24
Ramattra,Tank,2022-12-06
Reaper,Damage,2016-05-24
Reinhardt,Tank,2016-05-24
Roadhog,Tank,2016-05-24
Sigma,Tank,2019-08-13
Sojourn,Damage,2022-10-04
Soldier: 76,Damage,2016-05-24
Sombra,Damage,2016-11-15
Symmetra,Damage,2016-05-24
Torbjörn,Damage,2016-05-24
Tracer,Damage,2016-05-24
Venture,Damage,2024-04-16
Widowmaker,Damage,2016-05-24
Winston,Tank,2016-05-24
Wrecking Ball,Tank,2018-07-24
Zarya,Tank,2016-05-24
Zenyatta,Support,2016-05-24
